# FFV Dialog Text Dump (Dialogs 0-499)
# Source: dialog pointer table $E013F0, text at $E10000+
# Encoding: $FF=space, $00=null terminator, $01=newline
# Format: Dialog# | First ~60 chars of decoded text

   0 | Nothing happened.
   1 | Can't carry any more items!
   2 | Obtained !
   3 | Obtained Gil!
   4 | Obtained !
   5 | Monster-in-a-box!!
   6 | It's empty...
   7 | Please select a name.
   8 | Opened lock.
   9 | Welcome to the Traveler's Inn! Room and board is Gil f
  10 | Welcome to the Traveler's Inn! Room and board is Gil f
  11 | Welcome to the Traveler's Inn! Room and board is Gil f
  12 | Welcome to the Traveler's Inn! Room and board is Gil f
  13 | Welcome to the Traveler's Inn! Room and board is Gil f
  14 | Please rest well...
  15 | Please come again!
  16 | A sacred power protects this spot... You can rest using
  17 | Pretty Good! Received 100 Gil!
  18 | Locked from the inside.
  19 | It's locked.
  20 | Obtained Cabin!
  21 | Lenna: Father!
  22 | Lenna: Do you really have to go? King: Lenna, you
  23 | King: Something about the wind bothers me... I must go
  24 | Lenna: Yes... I can feel it, too... But, by yourself...?
  25 | Faris: The wind... stopped...
  26 | The wind stopped!! I've got to hurry!!
  27 | Lenna: The wind...!! Has something happened... to
  28 | King Tycoon: What!?
  29 | I'll teach you about the Rings... The Fire Ring... abso
  30 | Moogle: Kupo!
  31 | Equip/Optimum selects equipment based on attack and defen
  32 | Boco, let's go!
  33 | Boco, wait here.
  34 | Are you okay? Lenna: Y..., yes...
  35 | Lenna: Thank you very much for helping me. I'm Lenna.
  36 | <Bartz>: I'm <Bartz>. Journeying with a chocobo to n
  37 | Lenna: This thing suddenly came falling from the sky...
  38 | Lenna: Thank you so much. I wish I could repay you, but
  39 | <Bartz>: Hey, wait a sec...
  40 | Lenna: Did you hear something? <Bartz>: Huh? Ugh......
  41 | Unnh... Help...
  42 | <Bartz>: It's coming from over there!
  43 | Lenna: Are you all right? Old Man: Where am I...? Ooh
  44 | Old Man: What... what's with me...? I can't remember...
  45 | Old Man: ...ah! That's right, my name's Galuf! Lenna:
  46 | Lenna: I'm really very sorry, but I have to hurry. <Bartz>
  47 | Galuf: The Wind Shrine!! I have a feeling that's where
  48 | Galuf: I MUST go. Please take me with you!!
  49 | Lenna: <Bartz>... What about you? <Bartz>: I'll contin
  50 | Lenna: <Bartz>... Thank you so much! Goodbye... Galuf:
  51 | <Bartz>: Ouch... Boco! Don't stop so suddenly!
  52 | <Bartz>: Why are you giving me that look!? Wark! Wark,
  53 | <Bartz>: ... I know... It's an old man and a girl... An
  54 | Lenna: Eeeek! Galuf: Aaggh!
  55 | <Bartz>: Boco, let's hurry!! Wark!!
  56 | Lenna: Unhh... ...
  57 | <Bartz>: Hey! Lenna: <Bartz>!!
  58 | Lenna: Thank you so very much... <Bartz>: Aw, stop that.
  59 | <Bartz>: The meteor's shock's collapsed cliffs and made
  60 | Lenna: But I have to get to the Wind Shrine... Galuf: U
  61 | Galuf: To the Wind Shrine... got to hurry... to the Wind
  62 | <Bartz>: You know what? I'm going to go with you. Lenna
  63 | <Bartz>: Hey, you were awake!! Galuf: Of course I was!
  64 | Galuf: But the road has been blocked... What will we do
  65 | Lenna: But we must go! Galuf: Yeah. <Bartz>: Well, the
  66 | Lenna: A cave in such a place... <Bartz>: It must have bee
  67 | <Bartz>: Boco, it's dangerous ahead. You've got stay ba
  68 | Wark!
  69 | <Bartz>: Let's go, Boco!
  70 | Wark!
  71 | <Bartz>: That spring...!
  72 | This is a Spring of Recovery. HP/MP restored! Status rest
  73 | HP/MP restored! Status restored! Recovered from 'Wounded' st
  74 | <Bartz>: That button...?
  75 | <Bartz>: That ship...? How does it sail without wind...?
  76 | <Bartz>: This must be the pirates' hideout... so that s
  77 | Lenna: I wonder if we couldn't get a ride?
  78 | <Bartz>: Uhh... these are PIRATES we're talking about
  79 | Galuf: Well, then we haven't but to sneak the ship ourse
  80 | <Bartz>: Hey old man, you're more daring than I thought!
  81 | <Bartz>: He's sleeping...
  82 | Pirate: Mumble... mumble...
  83 | <Bartz>: We're off!!
  84 | Zzz... zzz... I fixed the ship's wheel, Captain... Zzz..
  85 | Galuf: <Bartz>... What's wrong? <Bartz>: It's no use.
  86 | And just what do you think you're doing!?
  87 | Faris: How bold you are! Just going to sneak in here an
  88 | Lenna: I am Tycoon's princess Lenna. I apologize for tr
  89 | <Bartz>: Tycoon's... Galuf: ... princess!?
  90 | <Bartz>: But that sure was a shock... that Lenna was the
  91 | Lenna: Please! Please lend us your ship! I must get t
  92 | Faris: Eh! You're Tycoon's princess! This one's gonna
  93 | Lenna: I beg you!!
  94 | Faris: That pendant...
  95 | Faris: Keep them locked up! Pirates: Yes Cap'n!!
