# FFV Event Script Names (Events 0-499)
# Generated from ROM dialog text analysis + map-name fallback
# Naming priority: Dialog text > Subroutine dialog > Shop/Inn > Map name > Content
# Format: Event# | SNES Address | Size | Name

   0 | $C849DC |     0B | [empty/unused]
   1 | $C849DC |     3B | NPC: "Can't carry any more items!"
   2 | $C849DF |     3B | NPC: "Obtained !"
   3 | $C849E2 |     3B | NPC: "Obtained Gil!"
   4 | $C849E5 |     3B | NPC: "Obtained !"
   5 | $C849E8 |     3B | NPC: "Monster-in-a-box!!"
   6 | $C849EB |     3B | NPC: "It's empty..."
   7 | $C849EE |     3B | NPC: "Please select a name."
   8 | $C849F1 |     3B | NPC: "Opened lock."
   9 | $C849F4 |     1B | [empty/unused]
  10 | $C849F5 |     6B | [call(1407)]
  11 | $C849FB |     6B | [party_action]
  12 | $C84A01 |    19B | [call(204), event_switch]
  13 | $C84A14 |     6B | NPC: "Can't carry any more items!"
  14 | $C84A1A |    13B | call(185): "Faris: ... Lenna... There's one"
  15 | $C84A27 |    18B | "Huh?" (Y/N)
  16 | $C84A39 |     6B | call(38): "Lenna: Father!"
  17 | $C84A3F |    10B | [call(972)]
  18 | $C84A49 |    10B | [call(706)]
  19 | $C84A53 |     5B | [call(972)]
  20 | $C84A58 |     5B | [call(706)]
  21 | $C84A5D |    18B | [World Map (Bartz' World) #1]
  22 | $C84A6F |    14B | [call(204), call(1761), event_switch]
  23 | $C84A7D |    14B | call(690): "Space bends... And time flows ba"
  24 | $C84A8B |    21B | [call(910), obj_action]
  25 | $C84AA0 |    60B | [obj_action]
  26 | $C84ADC |   100B | [obj_action, party_action]
  27 | $C84B40 |     9B | [obj_action]
  28 | $C84B49 |    19B | [obj_action]
  29 | $C84B5C |    12B | [party_action, sound, event_switch]
  30 | $C84B68 |     9B | [Airship #1]
  31 | $C84B71 |    15B | call(347): "rcrffnit"
  32 | $C84B80 |    15B | "HP/MP restored! Status restored!"
  33 | $C84B8F |     0B | [empty/unused]
  34 | $C84B8F |    95B | "Galuf: <Bartz>! Where'd you get"
  35 | $C84BEE |     7B | [sound, event_switch]
  36 | $C84BF5 |   126B | "Galuf: I'm sure it was somewhere"
  37 | $C84C73 |    13B | [Tycoon Meteorite #1]
  38 | $C84C80 |   597B | "Lenna: Father!"
  39 | $C84ED5 |   253B | [Chocobo Forest #1]
  40 | $C84FD2 |    29B | "Boco, wait here."
  41 | $C84FEF |     7B | [Tycoon Meteorite #2]
  42 | $C84FF6 |     6B | call(44): "Are you okay? Lenna: Y..., yes.."
  43 | $C84FFC |     6B | call(44): "Are you okay? Lenna: Y..., yes.."
  44 | $C85002 |   294B | "Are you okay? Lenna: Y..., yes.."
  45 | $C85128 |   221B | "<Bartz>: Ouch... Boco! Don't sto"
  46 | $C85205 |     7B | [World Map (Bartz' World) #2]
  47 | $C8520C |   123B | "Lenna: A cave in such a place..."
  48 | $C85287 |    63B | "<Bartz>: Boco, it's dangerous ah"
  49 | $C852C6 |    33B | "<Bartz>: Let's go, Boco!"
  50 | $C852E7 |    20B | "<Bartz>: That spring...!"
  51 | $C852FB |    24B | "HP/MP restored! Status restored!"
  52 | $C85313 |   143B | "<Bartz>: That button...?"
  53 | $C853A2 |   100B | "<Bartz>: What's that...?"
  54 | $C85406 |   167B | "<Bartz>: This must be the pirate"
  55 | $C854AD |    10B | "<Bartz>: He's sleeping..."
  56 | $C854B7 |    62B | "Pirate: Mumble... mumble..."
  57 | $C854F5 |    10B | [call(1890), sound, event_switch]
  58 | $C854FF |    17B | call(440): "pg<Krile>pAll ttKP<Bartz>iOr!h Y"
  59 | $C85510 |    27B | call(1318): "<Bartz>: Boco!"
  60 | $C8552B |    16B | [Tycoon Meteorite #3]
  61 | $C8553B |   101B | "Galuf: This is it!"
  62 | $C855A0 |   155B | "Princess Lenna!"
  63 | $C8563B |  1365B | "Lenna: The Crystal! <Bartz>: It'"
  64 | $C85B90 |    73B | "How to use the Pieces of Crystal" (Y/N)
  65 | $C85BD9 |    29B | [World Map (Bartz' World) #3]
  66 | $C85BF6 |    54B | "<Bartz>: Stand guard!!"
  67 | $C85C2C |    26B | "This is a Spring of Recovery. HP"
  68 | $C85C46 |    61B | "Lenna: It doesn't look like he's"
  69 | $C85C83 |   251B | "Pirates: Beer, beer!!"
  70 | $C85D7E |    65B | "Faris: Hey! Were you trying to l"
  71 | $C85DBF |   476B | "Pirates: Captain! Wait up!!"
  72 | $C85F9B |    47B | "<Bartz>: Something's wrong! Look"
  73 | $C85FCA |   390B | "<Bartz>: Hold on, I'll go take a"
  74 | $C86150 |    66B | "Lenna: This is Zokk's house..."
  75 | $C86192 |   608B | "Zokk: Princess Lenna! Lenna: Zok"
  76 | $C863F2 |    15B | [Fire-Powered Ship Below Deck #1]
  77 | $C86401 |    10B | "Cid: If only I hadn't created su"
  78 | $C8640B |    18B | [World Map (Bartz' World) #4]
  79 | $C8641D |    10B | [Torna Canal #1]
  80 | $C86427 |    18B | [Torna Canal #2]
  81 | $C86439 |    38B | call(34): "Galuf: <Bartz>! Where'd you get"
  82 | $C8645F |    38B | call(34): "Galuf: <Bartz>! Where'd you get"
  83 | $C86485 |     4B | "The canal's gates are locked."
  84 | $C86489 |    58B | "Faris: Do you really want to go"
  85 | $C864C3 |   539B | "<Bartz>: Man, I'm soaked... Lenn"
  86 | $C866DE |   716B | "<Bartz>: I've got a bad feeling"
  87 | $C869AA |    37B | [call(508), call(902), obj_action, party_action]
  88 | $C869CF |    68B | NPC: "It's empty..."
  89 | $C86A13 |    69B | "Lenna: We've got to stop them! B"
  90 | $C86A58 |   732B | "Lenna: Father's helmet!"
  91 | $C86D34 |   479B | "Lenna: Hiryuu! Faris: What an aw"
  92 | $C86F13 |    12B | [Ghido's Cave B5 #1]
  93 | $C86F1F |    55B | [give_take_item, party_action]
  94 | $C86F56 |    23B | NPC: "Can't carry any more items!"
  95 | $C86F6D |   348B | "King Worus: Why, if it isn't Pri"
  96 | $C870C9 |   465B | "Warrior: Galura is being control"
  97 | $C8729A |    57B | "<Bartz>: What's happening!? Fari"
  98 | $C872D3 |     7B | [Walse Meteorite #1]
  99 | $C872DA |    65B | NPC: "Can't carry any more items!"
 100 | $C8731B |   128B | "Lenna: <Bartz>! Galuf: Was he wa"
 101 | $C8739B |   323B | "Lenna: ... And... Father is stil"
 102 | $C874DE |    25B | "Chancellor: Princess Lenna, this"
 103 | $C874F7 |    29B | NPC: "Can't carry any more items!"
 104 | $C87514 |    67B | "It's them! <Bartz>: ??? You must"
 105 | $C87557 |    80B | "It's them! <Bartz>: ??? You must"
 106 | $C875A7 |    35B | [call(1907), obj_action, party_action, sound]
 107 | $C875CA |   743B | "Galuf: Now what do we do...? <Ba"
 108 | $C878B1 |    15B | call(441): "pg<Krile>pAll ttKP<Bartz>iOr!h Y"
 109 | $C878C0 |    12B | [World Map (Bartz' World) #5]
 110 | $C878CC |    14B | call(441): "pg<Krile>pAll ttKP<Bartz>iOr!h Y"
 111 | $C878DA |  1550B | "Lenna: The Crystal!"
 112 | $C87EE8 |     7B | [Karnak Castle Crystal Chamber #1]
 113 | $C87EEF |   132B | Shop #26
 114 | $C87F73 |     6B | [battle(264), event_switch]
 115 | $C87F79 |   317B | "<Bartz>: The pieces of the Cryst"
 116 | $C880B6 |    10B | "Cid: If only I hadn't created su"
 117 | $C880C0 |    78B | "<Bartz>: Cid! Cid: Go away! If o"
 118 | $C8810E |   355B | "<Bartz>: Cid! Cid: .... Lenna:"
 119 | $C88271 |   753B | "<Bartz>: What is THAT? Lenna: It"
 120 | $C88562 |   107B | "<Bartz>: Who's that? Lenna: Mid?"
 121 | $C885CD |   637B | "Mid: Hey! Don't bother me while"
 122 | $C8884A |   267B | "Cid: Aah... slept well!"
 123 | $C88955 |     4B | "Mid: Zzz... zzz..."
 124 | $C88959 |   111B | "Cid: Everything is my fault!! If"
 125 | $C889C8 |    10B | [call(98), party_action]
 126 | $C889D2 |     7B | [call(917), call(918)]
 127 | $C889D9 |   181B | "He.. here it comes...! Another e"
 128 | $C88A8E |    11B | NPC: "Can't carry any more items!"
 129 | $C88A99 |    95B | "<Bartz>: The ship's sinking!!"
 130 | $C88AF8 |    46B | [obj_action, party_action]
 131 | $C88B26 |   462B | "<Bartz>: Grrrrrrrrrr!!"
 132 | $C88CF4 |    12B | "Galuf: Giving up?" (Y/N)
 133 | $C88D00 |    12B | "Galuf: What is that? Lenna: A ch"
 134 | $C88D0C |   212B | "Cid: Hey, you're back! <Bartz>:"
 135 | $C88DE0 |   122B | "Special Service!!!"
 136 | $C88E5A |   167B | "Galuf: ...(sigh)... This doesn't"
 137 | $C88F01 |    11B | "Mid: Are you ready?" (Y/N)
 138 | $C88F0C |   123B | "<Bartz>: The quicksand's stopped"
 139 | $C88F87 |    38B | [obj_action]
 140 | $C88FAD |    16B | [obj_action, sound]
 141 | $C88FBD |     9B | [Desert of Shifting Sands #1]
 142 | $C88FC6 |    13B | [Desert of Shifting Sands #2]
 143 | $C88FD3 |    13B | [Desert of Shifting Sands #3]
 144 | $C88FE0 |   398B | "Lenna: Father! Faris: ... F... F"
 145 | $C8916E |  1094B | "<Bartz>: What's this!?"
 146 | $C895B4 |     8B | "There is a lever. Push it?" (Y/N)
 147 | $C895BC |    13B | [party_action, sound, event_switch]
 148 | $C895C9 |    15B | call(347): "rcrffnit"
 149 | $C895D8 |    16B | "<Bartz>: Where are we...? ...it'"
 150 | $C895E8 |     7B | [Catapult Living Quarters #1]
 151 | $C895EF |     7B | [Ronka Ruins Lv1 #1]
 152 | $C895F6 |    18B | [Catapult Storeroom #1]
 153 | $C89608 |     9B | [call(348)]
 154 | $C89611 |   103B | NPC: "Can't carry any more items!"
 155 | $C89678 |   158B | "<Bartz>: Propellers on a ship..."
 156 | $C89716 |    19B | [obj_action]
 157 | $C89729 |    22B | [Catapult Storeroom #2]
