90: BCCE  91: BCCE  92: BCCE  93: BCCE  94: BCCE  95: BCCE  96: C27C  97: C28A  
98: C282  99: BA98  9A: BD0D  9B: BAFF  9C: C56F  9D: C64B  9E: C6A7  9F: BB24  
A0: C735  A1: BD1E  A2: C758  A3: C77C  A4: C76A  A5: C78E  A6: BAEF  A7: BAF7  
A8: C04B  A9: C0E0  AA: BF92  AB: BFC0  AC: BC64  AD: BB4C  AE: BAE1  AF: BF07  
B0: BF10  B1: C6D4  B2: C70B  B3: C71C  B4: C212  B5: C25A  B6: BAD9  B7: BE62  
B8: C67D  B9: C692  BA: BFF1  BB: C00F  BC: C02D  BD: BD8D  BE: C6C4  BF: A672  
C0: BC6C  C1: C6CB  C2: C1AA  C3: C6AC  C4: C6B7  C5: C65A  C6: BEE9  C7: 0000  
C8: C7A4  C9: C1ED  CA: C9CE  CB: C9E4  CC: 0000  CD: 0000  CE: 0000  CF: 0000  
D0: BCB4  D1: C5FB  D2: C1BB  D3: C5C4  D4: C236  D5: C266  D6: C362  D7: C623  
D8: C57A  D9: BAA8  DA: B9EF  DB: BA9E  DC: BCF5  DD: B9E5  DE: 0000  DF: 0000  
E0: C3D3  E1: C3F7  E2: BDBC  E3: C418  E4: B9D5  E5: B9DD  E6: B9CF  E7: B991  
E8: BD36  E9: B8C8  EA: B8A0  EB: B8B7  EC: 0000  ED: 0000  EE: 0000  EF: 0000  
F0: C2AF  F1: C292  F2: 0000  F3: C504  F4: C4E0  F5: 0000  F6: 0000  F7: 0000  
F8: 0000  F9: 0000  FA: 0000  FB: 0000  FC: 0000  FD: 0000  FE: 0000  FF: 0000  

70: B044  70: B04C  70: B0A7  70: B6B0  70: B259  70: B185  70: B548  70: AC37  
70: AC4A  70: AC65  70: AC71  70: B5B1  70: B834  70: B848  70: B83A  70: AC01  
