path,verdict,informative_pct,raw_pct,informative_bytes,matched,still_clean,conflict,vacuous,total_bytes,out_of_range,expanded_area,alignment_delta,uninstall_patch,md5,duplicate_of_paths
"backups, other ppls patches\[3687]Final+Fantasy+V+-+GBA+Script+Port\ff5\Bugfixes.ips",ABSENT,3.4%,10.7%,85678,2941,1911,80826,6992,92670,0,0,0,,80c763f3a027dda556b537b8d4c6d5ca,"backups, other ppls patches\GBA script patch for RPGe.zip::GBA script patch for RPGe/Bugfixes.ips"
"backups, other ppls patches\[3687]Final+Fantasy+V+-+GBA+Script+Port\ff5\Final Fantasy V - GBA Script Port.ips",PARTIAL,5.8%,65.9%,197835,11461,41290,145084,347927,545762,0,0,0,,cd8e811adac7870bc6746ef07d4cbc9a,"backups, other ppls patches\GBA script patch for RPGe.zip::GBA script patch for RPGe/Final Fantasy V - GBA Script Port.ips"
"backups, other ppls patches\[3687]Final+Fantasy+V+-+GBA+Script+Port\ff5\Ginger Battle Galuf.ips",ABSENT,0.0%,0.0%,132,0,132,0,0,132,0,0,0,,5fb60796178aacca593fab2e91e58ec3,cosmetic patches\Ginger Battle Galuf (by J121).ips
"backups, other ppls patches\[6710]Final+Fantasy+V+Better+Job+Equipment+by+T92\Final Fantasy V Better Job Equipment.ips",ABSENT,0.0%,0.0%,8,0,7,1,0,8,0,0,0,,2376010df3b2ee2131a3fc6754befb55,"backups, other ppls patches\[6710]Final+Fantasy+V+Better+Job+Equipment+by+T92\[6710]Final+Fantasy+V+Better+Job+Equipment.zip::Final Fantasy V Better Job Equipment.ips; backups, other ppls patches\[6710]Final+Fantasy+V+Better+Job+Equipment.zip::Final Fantasy V Better Job Equipment.ips"
"backups, other ppls patches\[6789]Final+Fantasy+V+Tweaks+v2.7b\Final Fantasy V Dress Code.ips",PARTIAL,29.1%,46.6%,158661,46094,16689,95878,52044,210705,0,210681,0,,07a3b978f68bca879a1a030525c0b31c,
"backups, other ppls patches\[6789]Final+Fantasy+V+Tweaks+v2.7b\Final Fantasy V Tweaks v2.7a.ips",PARTIAL,6.5%,68.9%,184677,12009,29078,143590,369978,554655,0,0,0,,2c0e8c88b458d6ef76e99513bb54c93e,
"backups, other ppls patches\[6789]Final+Fantasy+V+Tweaks+v2.7b\Optional Patches\GBA Font.ips",PARTIAL,9.2%,16.3%,2169,199,259,1711,186,2355,0,0,0,,4ca87c70cb21af04263899c986b64b1b,
"backups, other ppls patches\[6789]Final+Fantasy+V+Tweaks+v2.7b\Optional Patches\Inus_patches.ips",APPLIED,99.8%,99.9%,3975,3969,5,1,162,4137,0,0,0,,239f3ec7d1ecd849ecb33ea79def3c9f,
"backups, other ppls patches\[6789]Final+Fantasy+V+Tweaks+v2.7b\Optional Patches\Old Font.ips",PARTIAL,51.3%,54.5%,505,259,17,229,36,541,0,0,0,,238d52fa9f3bc565b100ec43e1ba4340,
"backups, other ppls patches\[6789]Final+Fantasy+V+Tweaks+v2.7b\Optional Patches\PS1 Font.ips",PARTIAL,63.6%,67.9%,1436,913,26,497,193,1629,0,0,0,,56f2e42373dc4c6aed8763ba1847f23e,
"backups, other ppls patches\[6789]Final+Fantasy+V+Tweaks+v2.7b\Optional Patches\PS1_Dash.ips",APPLIED,100.0%,100.0%,38,38,0,0,0,38,0,0,0,,0c583ab3814324d9a4bda4d4d9a4b7ef,
"backups, other ppls patches\[6858]ff5_replace_drag_spell_v1.0\ff5_drag_to_haste_self.ips",PARTIAL,33.3%,37.5%,15,5,1,9,1,16,0,0,0,,60ae7507e61ef35b2bfb7687272b61ce,"backups, other ppls patches\[6858]ff5_replace_drag_spell_v1.0 - Tzepish.zip::ff5_drag_to_haste_self.ips"
"backups, other ppls patches\[6858]ff5_replace_drag_spell_v1.0\ff5_drag_to_levelup_self.ips",PARTIAL,38.5%,50.0%,13,5,1,7,3,16,0,0,0,,e273770ae951ecb739ea5bb81ad8a281,"backups, other ppls patches\[6858]ff5_replace_drag_spell_v1.0 - Tzepish.zip::ff5_drag_to_levelup_self.ips"
"backups, other ppls patches\[6858]ff5_replace_drag_spell_v1.0\ff5_drag_to_mpcharge_self.ips",APPLIED,100.0%,100.0%,14,14,0,0,1,15,0,0,0,,0751737e853333dfd5968fea10ce860f,"backups, other ppls patches\[6858]ff5_replace_drag_spell_v1.0 - Tzepish.zip::ff5_drag_to_mpcharge_self.ips"
