Lunar IPS (LIPS) Version 1.03
Apply IPS Patch Log

Offset    Size    RLE    IPS_File_Range       IPS_File_Size
------    ----    ID     00000000-00000004        5
120044       4    No     00000005-0000000D        9
120049       1    No     0000000E-00000013        6
120054       1    No     00000014-00000019        6
120056       3    No     0000001A-00000021        8
120088       7    No     00000022-0000002D        C
120098       1    No     0000002E-00000033        6
12009A       3    No     00000034-0000003B        8
1200A6       1    No     0000003C-00000041        6
1200A8       7    No     00000042-0000004D        C
1200B8       1    No     0000004E-00000053        6
1200BA       3    No     00000054-0000005B        8
120106       1    No     0000005C-00000061        6
120116       1    No     00000062-00000067        6
120208       4    No     00000068-00000070        9
120218       3    No     00000071-00000078        8
120284       4    No     00000079-00000081        9
120289       1    No     00000082-00000087        6
120294       5    No     00000088-00000091        A
1202C4       4    No     00000092-0000009A        9
1202CB       1    No     0000009B-000000A0        6
1202D4       3    No     000000A1-000000A8        8
1202D8       4    No     000000A9-000000B1        9
120402       1    No     000000B2-000000B7        6
120406       2    No     000000B8-000000BE        7
120412       2    No     000000BF-000000C5        7
120416       2    No     000000C6-000000CC        7
120581       1    No     000000CD-000000D2        6
120584       1    No     000000D3-000000D8        6
120586       1    No     000000D9-000000DE        6
120594       1    No     000000DF-000000E4        6
120597       3    No     000000E5-000000EC        8
1205C1       2    No     000000ED-000000F3        7
1205C6       1    No     000000F4-000000F9        6
1205D2       1    No     000000FA-000000FF        6
1205D7       3    No     00000100-00000107        8
120644       3    No     00000108-0000010F        8
120648       1    No     00000110-00000115        6
120654       5    No     00000116-0000011F        A
120664       1    No     00000120-00000125        6
120666       1    No     00000126-0000012B        6
120674       1    No     0000012C-00000131        6
120676       1    No     00000132-00000137        6
120684       9    No     00000138-00000145        E
12068E       1    No     00000146-0000014B        6
120694       1    No     0000014C-00000151        6
120696       1    No     00000152-00000157        6
120698       6    No     00000158-00000162        B
1206A8       3    No     00000163-0000016A        8
1206AC       3    No     0000016B-00000172        8
1206B8       1    No     00000173-00000178        6
1206BA       4    No     00000179-00000181        9
120706       1    No     00000182-00000187        6
120717       1    No     00000188-0000018D        6
120722       1    No     0000018E-00000193        6
120724       1    No     00000194-00000199        6
120733       1    No     0000019A-0000019F        6
120735       1    No     000001A0-000001A5        6
120808       4    No     000001A6-000001AE        9
120818       3    No     000001AF-000001B6        8
120884       1    No     000001B7-000001BC        6
120886       1    No     000001BD-000001C2        6
120888       1    No     000001C3-000001C8        6
120894       5    No     000001C9-000001D2        A
1208C4       1    No     000001D3-000001D8        6
1208C6       2    No     000001D9-000001DF        7
1208D4       1    No     000001E0-000001E5        6
1208D6       2    No     000001E6-000001EC        7
120A02       1    No     000001ED-000001F2        6
120A04       1    No     000001F3-000001F8        6
120A06       1    No     000001F9-000001FE        6
120A08       1    No     000001FF-00000204        6
120A12       1    No     00000205-0000020A        6
120A15       5    No     0000020B-00000214        A
120A22       1    No     00000215-0000021A        6
120A33       1    No     0000021B-00000220        6
120AC1       1    No     00000221-00000226        6
120AC3       1    No     00000227-0000022C        6
120B81       1    No     0000022D-00000232        6
120B84       1    No     00000233-00000238        6
120B86       2    No     00000239-0000023F        7
120B94       4    No     00000240-00000248        9
120BA2       1    No     00000249-0000024E        6
120BA4       2    No     0000024F-00000255        7
120BB3       3    No     00000256-0000025D        8
120BC1       2    No     0000025E-00000264        7
120BC4       1    No     00000265-0000026A        6
120BC6       2    No     0000026B-00000271        7
120BD2       1    No     00000272-00000277        6
120BD4       4    No     00000278-00000280        9
120BE2       1    No     00000281-00000286        6
120BE4       2    No     00000287-0000028D        7
120BF3       3    No     0000028E-00000295        8
120C44       1    No     00000296-0000029B        6
120C46       1    No     0000029C-000002A1        6
120C54       6    No     000002A2-000002AC        B
120C62       1    No     000002AD-000002B2        6
120C64       2    No     000002B3-000002B9        7
120C73       2    No     000002BA-000002C0        7
120C82       B    No     000002C1-000002D0       10
120C8E       1    No     000002D1-000002D6        6
120C92       1    No     000002D7-000002DC        6
120C94       A    No     000002DD-000002EB        F
120CA4       5    No     000002EC-000002F5        A
120CAA       1    No     000002F6-000002FB        6
120CAC       3    No     000002FC-00000303        8
120CB4       4    Yes    00000304-0000030B        8
120CBA       4    No     0000030C-00000314        9
120D04       1    No     00000315-0000031A        6
120D06       2    No     0000031B-00000321        7
120D09       2    No     00000322-00000328        7
120D0E       1    No     00000329-0000032E        6
120D14       5    No     0000032F-00000338        A
120D1A       2    No     00000339-0000033F        7
120D1E       2    No     00000340-00000346        7
120D22       1    No     00000347-0000034C        6
120D2F       1    No     0000034D-00000352        6
120D33       1    No     00000353-00000358        6
120D3F       5    No     00000359-00000362        A
120D50       3    No     00000363-0000036A        8
120E08       1    No     0000036B-00000370        6
120E0A       1    No     00000371-00000376        6
120E18       2    No     00000377-0000037D        7
120E84       1    No     0000037E-00000383        6
120E86       2    No     00000384-0000038A        7
120E94       6    No     0000038B-00000395        B
120EC4       1    No     00000396-0000039B        6
120EC6       1    No     0000039C-000003A1        6
120ED4       1    No     000003A2-000003A7        6
120ED6       1    No     000003A8-000003AD        6
121002       1    No     000003AE-000003B3        6
121004       1    No     000003B4-000003B9        6
121006       2    No     000003BA-000003C0        7
121012       1    No     000003C1-000003C6        6
121015       5    No     000003C7-000003D0        A
121025       3    No     000003D1-000003D8        8
121034       1    No     000003D9-000003DE        6
121036       1    No     000003DF-000003E4        6
1210C1       1    No     000003E5-000003EA        6
1210C3       1    No     000003EB-000003F0        6
121181       1    No     000003F1-000003F6        6
121184       1    No     000003F7-000003FC        6
121186       2    No     000003FD-00000403        7
121189       1    No     00000404-00000409        6
121194       1    No     0000040A-0000040F        6
121196       3    No     00000410-00000417        8
1211A8       1    No     00000418-0000041D        6
1211B8       2    No     0000041E-00000424        7
1211C1       2    No     00000425-0000042B        7
1211C6       2    No     0000042C-00000432        7
1211C9       1    No     00000433-00000438        6
1211D2       1    No     00000439-0000043E        6
1211D6       3    No     0000043F-00000446        8
1211E8       1    No     00000447-0000044C        6
1211F8       2    No     0000044D-00000453        7
121243       7    No     00000454-0000045F        C
121252       3    No     00000460-00000467        8
121256       1    No     00000468-0000046D        6
121258       1    No     0000046E-00000473        6
121280       1    No     00000474-00000479        6
121282       7    No     0000047A-00000485        C
12128A       5    No     00000486-0000048F        A
121292       5    No     00000490-00000499        A
121298       4    No     0000049A-000004A2        9
12129D       1    No     000004A3-000004A8        6
1212A7       1    No     000004A9-000004AE        6
